1,1,14,0.035
2,1,22,0.03
3,1,23,0.015
4,1,5,0.02
5,1,5,0.035
6,1,7,0.015
7,1,17,0.055
8,1,12,0.055
9,1,10,0.02
10,1,23,0.015
11,1,9,0.045
12,1,18,0.045
13,1,17,0.03
14,1,18,0.05
15,1,18,0.025
16,1,20,0.045
17,1,5,0.055
18,1,19,0.04
19,1,7,0.06
20,1,6,0.02
1,2,8,0.055
2,2,6,0.055
3,2,4,0.065
4,2,7,0.05
5,2,13,0.05
6,2,12,0.06
7,2,7,0.065
8,2,8,0.055
9,2,6,0.05
10,2,6,0.045
11,2,4,0.055
12,2,5,0.045
13,2,13,0.065
14,2,5,0.055
15,2,13,0.055
16,2,12,0.07
17,2,12,0.07
18,2,11,0.055
19,2,14,0.05
20,2,4,0.06
1,3,5,0.07
2,3,7,0.085
3,3,7,0.075
4,3,5,0.055
5,3,5,0.075
6,3,5,0.06
7,3,2,0.06
8,3,3,0.055
9,3,4,0.07
10,3,4,0.075
11,3,6,0.075
12,3,6,0.07
13,3,3,0.05
14,3,6,0.08
15,3,7,0.085
16,3,2,0.055
17,3,5,0.065
18,3,2,0.06
19,3,6,0.065
20,3,5,0.075
