1,1,1,1,0.25
2,1,1,2,0.3
3,1,1,3,0.2
4,1,2,1,0.3
5,1,2,2,0.3
6,1,2,3,0.3
7,1,3,1,0.3
8,1,3,2,0.25
9,1,3,3,0.2
10,1,4,1,0.3
11,1,4,2,0.3
12,1,4,3,0.25
13,1,5,1,0.25
14,1,5,2,0.25
15,1,5,3,0.25
16,1,6,1,0.3
17,1,6,2,0.3
18,1,6,3,0.2
19,1,7,1,0.3
20,1,7,2,0.3
21,1,7,3,0.35
22,1,8,1,0.3
23,1,8,2,0.3
24,1,8,3,0.2
25,1,9,1,0.35
26,1,9,2,0.35
27,1,9,3,0.25
28,1,10,1,0.25
29,1,10,2,0.2
30,1,10,3,0.3
31,1,11,1,0.2
32,1,11,2,0.35
33,1,11,3,0.25
34,1,12,1,0.3
35,1,12,2,0.35
36,1,12,3,0.3
37,1,13,1,0.2
38,1,13,2,0.3
39,1,13,3,0.25
40,1,14,1,0.35
41,1,14,2,0.25
42,1,14,3,0.3
43,1,15,1,0.25
44,1,15,2,0.2
45,1,15,3,0.25
46,1,16,1,0.2
47,1,16,2,0.3
48,1,16,3,0.2
49,1,17,1,0.25
50,1,17,2,0.3
51,1,17,3,0.2
52,1,18,1,0.3
53,1,18,2,0.3
54,1,18,3,0.25
55,1,19,1,0.3
56,1,19,2,0.2
57,1,19,3,0.3
58,1,20,1,0.25
59,1,20,2,0.3
60,1,20,3,0.2
61,2,1,1,0.4
62,2,1,2,0.5
63,2,1,3,0.35
64,2,2,1,0.5
65,2,2,2,0.4
66,2,2,3,0.35
67,2,3,1,0.45
68,2,3,2,0.5
69,2,3,3,0.45
70,2,4,1,0.4
71,2,4,2,0.55
72,2,4,3,0.55
73,2,5,1,0.45
74,2,5,2,0.55
75,2,5,3,0.35
76,2,6,1,0.55
77,2,6,2,0.45
78,2,6,3,0.4
79,2,7,1,0.4
80,2,7,2,0.5
81,2,7,3,0.4
82,2,8,1,0.55
83,2,8,2,0.55
84,2,8,3,0.5
85,2,9,1,0.45
86,2,9,2,0.45
87,2,9,3,0.5
88,2,10,1,0.45
89,2,10,2,0.55
90,2,10,3,0.5
91,2,11,1,0.45
92,2,11,2,0.4
93,2,11,3,0.5
94,2,12,1,0.45
95,2,12,2,0.45
96,2,12,3,0.45
97,2,13,1,0.4
98,2,13,2,0.45
99,2,13,3,0.5
100,2,14,1,0.45
101,2,14,2,0.45
102,2,14,3,0.5
103,2,15,1,0.5
104,2,15,2,0.45
105,2,15,3,0.35
106,2,16,1,0.35
107,2,16,2,0.4
108,2,16,3,0.4
109,2,17,1,0.5
110,2,17,2,0.45
111,2,17,3,0.45
112,2,18,1,0.5
113,2,18,2,0.5
114,2,18,3,0.4
115,2,19,1,0.45
116,2,19,2,0.35
117,2,19,3,0.5
118,2,20,1,0.4
119,2,20,2,0.55
120,2,20,3,0.4
121,3,1,1,0.6
122,3,1,2,0.55
123,3,1,3,0.7
124,3,2,1,0.7
125,3,2,2,0.6
126,3,2,3,0.65
127,3,3,1,0.7
128,3,3,2,0.7
129,3,3,3,0.75
130,3,4,1,0.6
131,3,4,2,0.75
132,3,4,3,0.6
133,3,5,1,0.75
134,3,5,2,0.7
135,3,5,3,0.75
136,3,6,1,0.65
137,3,6,2,0.55
138,3,6,3,0.75
139,3,7,1,0.55
140,3,7,2,0.7
141,3,7,3,0.65
142,3,8,1,0.7
143,3,8,2,0.6
144,3,8,3,0.6
145,3,9,1,0.7
146,3,9,2,0.6
147,3,9,3,0.75
148,3,10,1,0.7
149,3,10,2,0.7
150,3,10,3,0.6
151,3,11,1,0.7
152,3,11,2,0.6
153,3,11,3,0.55
154,3,12,1,0.75
155,3,12,2,0.55
156,3,12,3,0.65
157,3,13,1,0.65
158,3,13,2,0.7
159,3,13,3,0.55
160,3,14,1,0.75
161,3,14,2,0.6
162,3,14,3,0.6
163,3,15,1,0.75
164,3,15,2,0.65
165,3,15,3,0.75
166,3,16,1,0.55
167,3,16,2,0.55
168,3,16,3,0.65
169,3,17,1,0.6
170,3,17,2,0.65
171,3,17,3,0.65
172,3,18,1,0.65
173,3,18,2,0.6
174,3,18,3,0.6
175,3,19,1,0.55
176,3,19,2,0.55
177,3,19,3,0.7
178,3,20,1,0.65
179,3,20,2,0.6
180,3,20,3,0.55
